feature,rho,p_value,abs_rho,target
texture3d_median_dissi,0.4006452620602093,1.3914506324429195e-32,0.4006452620602093,FLU_vs_SHG
texture3d_std_indnc,0.39916132569237656,2.47137356023525e-32,0.39916132569237656,FLU_vs_SHG
texture_median_contrastmean.,-0.3982320735221427,3.536030082459522e-32,0.3982320735221427,FLU_vs_SHG
texture3d_std_autoc,0.38786246407703173,1.7840353872361785e-30,0.38786246407703173,FLU_vs_SHG
texture_std_glcmvariancemean.,-0.3743249495061233,2.424829181536864e-28,0.3743249495061233,FLU_vs_SHG
texture_std_glcmmeanmean.,-0.37024891157759704,1.017477402332936e-27,0.37024891157759704,FLU_vs_SHG
texture3d_std_sosvh,0.3605445622089036,2.850612769565177e-26,0.3605445622089036,FLU_vs_SHG
texture_mean_glcmmeanmean.,-0.3575244926556432,7.858263679377553e-26,0.3575244926556432,FLU_vs_SHG
texture3d_median_denth,0.355032469419345,1.7995430915390127e-25,0.355032469419345,FLU_vs_SHG
texture3d_std_cshad,0.34765118834690734,2.005945358216872e-24,0.34765118834690734,FLU_vs_SHG
texture_median_glcmmeanmean.,-0.33134703663280224,3.2988388504376084e-22,0.33134703663280224,FLU_vs_SHG
texture3d_std_corrp,0.3295307710273449,5.71630376080131e-22,0.3295307710273449,FLU_vs_SHG
texture3d_mean_inf2h,0.32524353942376544,2.0622490163162103e-21,0.32524353942376544,FLU_vs_SHG
texture3d_std_denth,-0.31907668411221274,1.2599969155475265e-20,0.31907668411221274,FLU_vs_SHG
texture3d_std_inf1h,0.3007661924851025,2.1310208760662954e-18,0.3007661924851025,FLU_vs_SHG
texture_std_dissimilaritymean.,-0.29671127392408153,6.325042847593761e-18,0.29671127392408153,FLU_vs_SHG
texture3d_std_homop,0.27609877123889165,1.2259154693360182e-15,0.27609877123889165,FLU_vs_SHG
texture_mean_dissimilaritymean.,-0.26260349540299377,3.054473885171642e-14,0.26260349540299377,FLU_vs_SHG
texture_median_dissimilaritymean.,-0.2509350448563059,4.2619517428943644e-13,0.2509350448563059,FLU_vs_SHG
texture3d_median_corrp,0.24628881704457364,1.1734718964235945e-12,0.24628881704457364,FLU_vs_SHG
texture3d_mean_corrp,0.24590863539004038,1.2736998914731143e-12,0.24590863539004038,FLU_vs_SHG
std_HistWID,-0.24376501958825061,2.0166973570075556e-12,0.24376501958825061,FLU_vs_SHG
HGU (microns),0.2385643834202962,6.038649335483925e-12,0.2385643834202962,FLU_vs_SHG
