feature,rho,p_value,abs_rho,target
std_HistANG,0.013426637891505586,0.7027908090352452,0.013426637891505586,FLU_vs_SHG
texture_std_asmmean.,0.0092766821767107,0.7920750968401812,0.0092766821767107,FLU_vs_SHG
median_HistANG,-0.008315772877559927,0.8131924084182705,0.008315772877559927,FLU_vs_SHG
mean_HistLEN,-0.0077772071277357885,0.8250887611656228,0.0077772071277357885,FLU_vs_SHG
texture_mean_asmmean.,-0.0069007533323624855,0.844533526111943,0.0069007533323624855,FLU_vs_SHG
mean_HistANG,0.0056652703333014125,0.8721022898392617,0.0056652703333014125,FLU_vs_SHG
texture_median_asmmean.,-0.005591352547032801,0.873756976894441,0.005591352547032801,FLU_vs_SHG
texture3d_median_cprom,-0.002259803640928359,0.9487983180971252,0.002259803640928359,FLU_vs_SHG
texture3d_median_inf1h,-0.00021577638019063078,0.9951077059134885,0.00021577638019063078,FLU_vs_SHG
z_depth_HistLEN,0.0,1.0,0.0,FLU_vs_SHG
TotalImageArea,,,,FLU_vs_SHG
