image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,fibercount,fibercount,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth,z_depth,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,timepoint,position
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s7,7,105.0417523,50.00431061,0.897000606,3.490525,119.535,42.6985,0.9091,3.3838,132.0,132.0,53.56170369,19.66351442,0.054957914,0.680036706,14.0,14.0,13188,17.8775,10744,526,20.4259,67,1.4173,0.0303,0.2362,0.1499,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s8,8,114.6083475,51.44219375,0.89082025,3.634518125,126.71,44.8875,0.899985,3.5004,160.0,160.0,49.81892364,19.66990613,0.060845237,0.836275269,16.0,16.0,13631,17.2315,11166,564,19.7979,82,1.4266,0.0236,0.2911,0.1008,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t10_s9,9,107.5694739,51.73445963,0.889889068,3.78627205,120.26,42.5,0.90459,3.6595,161.0,161.0,51.12578649,23.20048827,0.058708942,0.949447289,18.0,18.0,14046,16.6633,11579,566,20.4576,87,1.4355,0.0299,0.3183,0.09659,262144,10,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s1,1,110.5498292,53.10298333,0.89750025,3.6306575,123.105,44.308,0.9099,3.5181,120.0,120.0,52.0032165,23.29255101,0.058197611,0.766567739,2.0,2.0,13062,18.0693,10539,483,21.8199,79,1.4117,0.0265,0.2342,0.1071,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s10,10,101.1483333,54.6662,0.886916133,3.865310667,110.165,44.773,0.90463,3.6913,150.0,150.0,57.67423915,27.49592247,0.063634457,1.017792822,20.0,20.0,13425,17.5266,10896,543,20.0663,81,1.4232,0.0253,0.29,0.09484,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s11,11,107.2352192,48.69422308,0.888464154,3.684163846,123.145,43.3535,0.900475,3.48005,130.0,130.0,55.20537304,22.81486305,0.059366723,1.176786246,22.0,22.0,11747,20.3159,9475,509,18.6149,62,1.3916,0.0275,0.2198,0.08347,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s12,12,94.16293846,53.26135897,0.890306026,4.034070513,98.631,43.694,0.903555,3.71905,78.0,78.0,61.7908486,27.66537177,0.072446712,1.176249737,24.0,24.0,9009,27.0981,7286,420,17.3476,47,1.3316,0.0347,0.1648,0.132,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s13,13,94.30860174,47.72027826,0.897571391,4.017678261,99.728,41.443,0.9126,3.5848,115.0,115.0,57.12958965,18.45559332,0.062202199,1.407036572,26.0,26.0,10713,22.4698,8788,509,17.2652,46,1.3717,0.0304,0.2081,0.1257,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s14,14,99.33842458,51.07197183,0.895841972,4.244042958,101.975,44.1975,0.90755,3.9515,142.0,142.0,55.16496206,21.29859681,0.066042438,1.287290906,28.0,28.0,12072,19.7151,9925,519,19.1233,69,1.3967,0.0288,0.278,0.12,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s15,15,96.8583036,51.73335252,0.899184317,4.006879137,100.08,42.828,0.90962,3.8258,139.0,139.0,59.25414753,22.30125298,0.059869784,1.159146892,30.0,30.0,11075,21.67,9164,553,16.5714,54,1.3771,0.0182,0.2541,0.08893,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s16,16,94.92771148,51.93429508,0.886980984,4.178168852,97.1415,47.0455,0.901055,3.87875,122.0,122.0,61.17042046,21.59781499,0.057640915,1.337179649,32.0,32.0,10150,23.8271,8343,463,18.0194,48,1.3671,0.0283,0.2238,0.07693,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s17,17,88.17979853,50.10713235,0.893613971,4.192247059,90.0,43.7575,0.910835,4.0067,136.0,136.0,58.00843333,19.90972094,0.069389391,1.258526121,34.0,34.0,10588,22.7587,8693,490,17.7408,46,1.3741,0.0244,0.2405,0.05842,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s18,18,87.6837645,49.48256805,0.898037929,4.217398817,88.025,42.019,0.91033,4.0465,169.0,169.0,56.24023597,20.23735655,0.054908313,1.297842378,36.0,36.0,11580,20.6377,9562,483,19.7971,76,1.3979,0.0296,0.2644,0.05771,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s19,19,89.42111894,53.81050758,0.892113636,4.177775,93.334,46.52,0.91019,3.9565,132.0,132.0,54.73803184,24.30141473,0.070997613,1.166627376,38.0,38.0,10482,23.0091,8552,483,17.706,48,1.3648,0.0307,0.2293,0.06447,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s2,2,103.7504813,51.55285593,0.906971441,3.510109322,116.71,41.9655,0.911975,3.4579,118.0,118.0,57.49215919,24.39401873,0.04818081,0.651625578,4.0,4.0,13008,18.1526,10469,499,20.98,81,1.4096,0.0296,0.2195,0.09764,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s20,20,83.47117955,52.20131818,0.880070682,4.0531625,90.651,45.366,0.900605,3.771,88.0,88.0,55.9179452,23.08076739,0.066313553,1.154595768,40.0,40.0,10053,24.0763,8154,411,19.8394,44,1.3583,0.0235,0.2017,0.05855,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s21,21,88.75630882,45.05008824,0.878072794,3.356830882,91.4355,39.084,0.89123,3.19985,68.0,68.0,59.10066313,18.11187641,0.064513249,0.862627082,42.0,42.0,14464,16.124,11761,655,17.9557,82,1.4466,0.0258,0.3214,0.01999,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s22,22,82.39774286,39.90132143,0.898720893,2.668826786,78.902,36.703,0.898135,2.54605,56.0,56.0,59.87610881,8.754308827,0.044338714,0.418393195,44.0,44.0,15563,14.8441,12753,743,17.1642,87,1.4612,0.0331,0.4476,0.01368,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s23,23,86.5694963,40.67055556,0.914598889,2.3874,74.055,37.65,0.91511,2.2952,27.0,27.0,67.04392833,11.47712303,0.037092848,0.227534489,46.0,46.0,16876,13.5336,13845,790,17.5253,87,1.4858,0.0288,0.4369,0.02576,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s24,24,84.86081797,48.54035593,0.909018814,2.437771186,75.256,43.151,0.91336,2.4106,59.0,59.0,63.28542616,17.91954182,0.046802432,0.25725045,48.0,48.0,17734,12.7821,14544,753,19.3147,123,1.4954,0.0343,0.5644,0.03536,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s25,25,94.76066296,42.18444444,0.914295185,2.359666667,84.094,38.123,0.91751,2.3398,27.0,27.0,64.41180351,11.33225223,0.037881739,0.163445358,50.0,50.0,17568,12.9217,14617,748,19.5414,123,1.4936,0.0336,0.4652,0.02703,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s26,26,67.12893103,44.99589655,0.911423793,2.370062069,55.954,45.302,0.92341,2.3449,29.0,29.0,59.27100169,10.77177601,0.048427385,0.144037654,52.0,52.0,17464,13.0106,14506,766,18.9373,105,1.4936,0.0345,0.4857,0.05942,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s27,27,91.80799,40.93853333,0.907574,2.414436667,95.039,36.307,0.920405,2.3836,30.0,30.0,61.41655315,16.77944526,0.057806001,0.205400898,54.0,54.0,17823,12.7082,14748,757,19.4822,101,1.4974,0.0344,0.4678,0.04376,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s28,28,80.18518333,43.7304375,0.896651875,2.392116667,75.914,37.8315,0.908425,2.3417,48.0,48.0,60.09349042,15.36777218,0.051190347,0.211250138,56.0,56.0,18009,12.5563,14917,817,18.2583,89,1.5009,0.0311,0.4945,0.04852,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s3,3,105.9522591,49.29904724,0.889924016,3.398298425,114.9,41.599,0.90304,3.2536,127.0,127.0,52.21788654,19.28268883,0.064088497,0.691856747,6.0,6.0,13230,17.8144,10734,500,21.468,77,1.4145,0.0283,0.236,0.1273,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s4,4,109.8732875,49.63554688,0.892193125,3.491307031,132.735,43.371,0.905575,3.37965,128.0,128.0,53.44342275,18.83224569,0.059859319,0.723467463,8.0,8.0,13395,17.5704,10963,540,20.3019,75,1.4162,0.0241,0.2231,0.1365,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s5,5,111.5968959,50.51087273,0.895111394,3.543463636,126.38,45.019,0.90796,3.4593,165.0,165.0,52.83462332,20.21152068,0.060189505,0.715588636,10.0,10.0,13788,17.0125,11235,483,23.2609,93,1.4258,0.0254,0.2657,0.1409,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s6,6,117.4585333,53.37579825,0.891737895,3.483114912,135.14,45.7855,0.906565,3.3089,114.0,114.0,53.19603087,23.31874229,0.054072664,0.722184995,12.0,12.0,13162,17.9168,10715,518,20.6853,70,1.4139,0.0282,0.24,0.1562,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s7,7,114.7490364,49.14470455,0.898717727,3.630604545,127.56,43.4025,0.91495,3.4562,132.0,132.0,51.62014628,18.33408228,0.057539534,0.866711777,14.0,14.0,13327,17.6702,10904,554,19.6823,65,1.42,0.032,0.2403,0.1162,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s8,8,107.1904429,49.07372857,0.892722929,3.583237857,118.97,41.9985,0.91276,3.4076,140.0,140.0,52.47903061,19.24857531,0.065368402,0.769057059,16.0,16.0,13461,17.4744,10882,508,21.4213,78,1.4198,0.0261,0.2507,0.1396,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t11_s9,9,110.120482,51.36481379,0.894353379,3.694869655,120.65,43.53,0.91159,3.5808,145.0,145.0,51.48906878,23.80867783,0.059238027,0.770298768,18.0,18.0,13560,17.3322,11164,578,19.3149,62,1.4263,0.0251,0.3017,0.0779,262144,11,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s1,1,104.2651205,52.0083937,0.898479055,3.55121811,116.57,44.589,0.90527,3.5217,127.0,127.0,54.80321226,22.19185539,0.051448101,0.707928314,2.0,2.0,12993,18.1759,10633,513,20.7271,80,1.4115,0.0286,0.2283,0.09324,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s10,10,106.2528053,51.03861654,0.879145188,3.696322556,112.75,44.481,0.89485,3.4915,133.0,133.0,52.39886315,20.98733113,0.066608013,0.993771856,20.0,20.0,12917,18.2946,10486,552,18.9964,72,1.4118,0.0291,0.2651,0.08387,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s11,11,101.7149077,50.84435043,0.890260342,3.995438462,107.93,43.476,0.90536,3.7199,117.0,117.0,53.56066283,21.97338902,0.070815691,1.189764323,22.0,22.0,11825,20.1687,9484,511,18.5597,60,1.389,0.0262,0.2174,0.09359,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s12,12,103.690229,56.67759677,0.879457742,4.136012903,117.81,42.9255,0.898335,3.82105,62.0,62.0,54.27486574,31.66620402,0.075664411,1.253215809,24.0,24.0,8292,29.6142,6759,419,16.1313,30,1.3143,0.0267,0.1517,0.1388,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s13,13,88.37113068,53.71006818,0.890577045,4.221743182,95.507,46.354,0.904275,3.95475,88.0,88.0,56.3032771,26.71443226,0.076869551,1.263224902,26.0,26.0,9450,25.7402,7625,452,16.8695,37,1.3372,0.0208,0.1749,0.1316,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s14,14,103.707418,51.20864844,0.893479844,4.068157813,119.95,42.737,0.908385,3.7317,128.0,128.0,55.91643794,22.45180614,0.072617485,1.203721176,28.0,28.0,11084,21.6508,9283,488,19.0225,59,1.3763,0.0236,0.2327,0.1115,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s15,15,96.38948095,50.08942063,0.885467063,4.11826746,98.192,43.5035,0.906385,3.74835,126.0,126.0,57.60655807,19.96716896,0.07271972,1.377221921,30.0,30.0,11239,21.3246,9276,468,19.8205,57,1.3792,0.0225,0.2411,0.0774,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s16,16,87.43669697,51.75962626,0.890217677,4.0425,80.538,44.355,0.90144,3.7875,99.0,99.0,58.87560585,22.32570296,0.068845993,1.256626722,32.0,32.0,9537,25.4872,7797,447,17.443,38,1.3436,0.0241,0.2098,0.06819,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s17,17,95.5574413,52.34200725,0.889177029,4.151923188,93.274,43.961,0.908465,3.95495,138.0,138.0,55.47158184,22.3547374,0.073540687,1.191245854,34.0,34.0,10357,23.3109,8530,488,17.4795,53,1.3665,0.0264,0.2459,0.06761,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s18,18,89.73475725,52.4320458,0.892804427,4.127134351,90.818,47.639,0.90498,3.7723,131.0,131.0,56.72327817,20.39127566,0.060017487,1.31885787,36.0,36.0,10697,22.5064,8748,497,17.6016,55,1.3769,0.0273,0.2415,0.07865,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s19,19,88.05293446,53.36644595,0.882054257,3.975984459,92.4375,45.8185,0.89753,3.74175,148.0,148.0,57.21058866,23.1741641,0.069083094,1.045954546,38.0,38.0,11308,21.1823,9412,514,18.3113,62,1.3844,0.023,0.2599,0.06993,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s2,2,110.0229566,50.66427358,0.900463491,3.52009434,126.67,41.303,0.904375,3.43925,106.0,106.0,52.92860553,21.98479595,0.048849156,0.670203396,4.0,4.0,12332,19.2573,9928,496,20.0161,57,1.3995,0.0239,0.2107,0.1024,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s20,20,92.56880444,55.9847,0.886490556,3.808307778,95.493,48.9465,0.89707,3.6641,90.0,90.0,54.32413035,28.42983953,0.06809894,0.919043281,40.0,40.0,11063,21.6956,9104,472,19.2881,53,1.3784,0.0202,0.236,0.06186,262144,12,5
maskappliedISO8bit_flucol594_kpcclusters_800nm_poc0_60745_20x_g55_1_MMStack_Pos5_t12_s21,21,98.8651075,46.6686625,0.878128,3.23419875,104.605,39.844,0.88933,3.1442,80.0,80.0,58.04759269,17.03949461,0.068598089,0.892391554,42.0,42.0,14286,16.3498,11735,658,17.8343,83,1.441,0.0293,0.3438,0.03712,262144,12,5
